[Mon Jun 02 14:10:56.778494 2025] [fcgid:warn] [pid 13880:tid 1364] [client 127.0.0.1:54779] mod_fcgid: read timeout from pipe, referer: http://brainwaveio.local/wp-admin/plugin-install.php?s=elementor&tab=search&type=term
[Mon Jun 02 14:10:56.778494 2025] [core:error] [pid 13880:tid 1364] [client 127.0.0.1:54779] End of script output before headers: admin-ajax.php, referer: http://brainwaveio.local/wp-admin/plugin-install.php?s=elementor&tab=search&type=term
[Mon Jun 02 14:11:49.627724 2025] [fcgid:warn] [pid 13880:tid 1364] [client 127.0.0.1:54810] mod_fcgid: read timeout from pipe, referer: http://brainwaveio.local/wp-admin/plugin-install.php?s=elementor&tab=search&type=term
[Mon Jun 02 14:11:49.635774 2025] [fcgid:warn] [pid 13880:tid 1364] (138)timed out: [client 127.0.0.1:54810] mod_fcgid: ap_pass_brigade failed in handle_request_ipc function, referer: http://brainwaveio.local/wp-admin/plugin-install.php?s=elementor&tab=search&type=term
[Mon Jun 02 17:10:37.489908 2025] [fcgid:warn] [pid 13880:tid 1356] [client 127.0.0.1:63118] mod_fcgid: read timeout from pipe, referer: http://brainwaveio.local/wp-admin/edit.php?post_type=elementor_library&tabs_group=library
[Mon Jun 02 17:10:37.489908 2025] [core:error] [pid 13880:tid 1356] [client 127.0.0.1:63118] End of script output before headers: admin-ajax.php, referer: http://brainwaveio.local/wp-admin/edit.php?post_type=elementor_library&tabs_group=library
[Tue Jun 03 07:17:30.650203 2025] [fcgid:warn] [pid 13880:tid 1348] [client 127.0.0.1:52235] mod_fcgid: read timeout from pipe, referer: http://brainwaveio.local/wp-admin/edit.php?post_type=page
[Tue Jun 03 07:17:30.650203 2025] [core:error] [pid 13880:tid 1348] [client 127.0.0.1:52235] End of script output before headers: admin-ajax.php, referer: http://brainwaveio.local/wp-admin/edit.php?post_type=page
[Tue Jun 03 07:17:36.286238 2025] [fcgid:warn] [pid 13880:tid 1360] [client 127.0.0.1:52239] mod_fcgid: read timeout from pipe, referer: http://brainwaveio.local/wp-admin/edit.php?post_type=page
[Tue Jun 03 07:17:36.286238 2025] [core:error] [pid 13880:tid 1360] [client 127.0.0.1:52239] End of script output before headers: edit.php, referer: http://brainwaveio.local/wp-admin/edit.php?post_type=page
[Tue Jun 03 07:17:49.820157 2025] [fcgid:warn] [pid 13880:tid 1280] [client 127.0.0.1:52245] mod_fcgid: read timeout from pipe, referer: http://brainwaveio.local/wp-admin/post.php?post=42&action=elementor
[Tue Jun 03 07:17:49.820157 2025] [core:error] [pid 13880:tid 1280] [client 127.0.0.1:52245] End of script output before headers: admin-ajax.php, referer: http://brainwaveio.local/wp-admin/post.php?post=42&action=elementor
[Tue Jun 03 07:18:01.741489 2025] [fcgid:warn] [pid 13880:tid 1368] [client 127.0.0.1:52248] mod_fcgid: read timeout from pipe, referer: http://brainwaveio.local/wp-admin/edit.php?post_type=page
[Tue Jun 03 07:18:01.741489 2025] [core:error] [pid 13880:tid 1368] [client 127.0.0.1:52248] End of script output before headers: admin-ajax.php, referer: http://brainwaveio.local/wp-admin/edit.php?post_type=page
